,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,8014,1852,8379,7822,77828,40562,50023,870,0
2021-07-14,8015,2593,8379,7822,79969,40697,51164,870,0
2021-07-15,8014,3284,8379,7822,81589,41080,52142,1028,0
2021-07-16,8016,3901,8379,7828,83558,41705,53398,1884,0
2021-07-17,8017,4012,8379,7828,84233,41860,54296,2158,0
2021-07-18,8017,4322,8379,7828,84681,41913,54593,2159,0
2021-07-19,8017,4792,8379,7829,86381,42738,55689,2192,0
2021-07-20,8017,5252,8379,7830,87861,43554,56794,2202,0
2021-07-21,8020,5473,8379,7830,89747,44599,57662,2211,0
2021-07-22,8020,5712,8379,7830,90909,46327,58289,2213,0
2021-07-23,8022,6134,8379,7830,92213,48777,58840,2223,0
2021-07-24,8020,6191,8379,7830,92880,50193,59090,2223,0
2021-07-25,8020,6346,8379,7830,93186,51005,59210,2223,0
2021-07-26,8020,6536,8379,7830,94296,53924,59691,2226,0
2021-07-27,8020,6645,8379,7830,95660,56752,60125,2233,0
2021-07-28,8020,6692,8379,7830,96513,59362,60487,2236,0
2021-07-29,8020,6716,8379,7848,97027,61042,60699,2239,0
2021-07-30,8020,6756,8379,7860,97548,63146,60971,2246,0
2021-07-31,8020,6764,8379,7884,97720,63809,61119,2246,0
2021-08-01,8020,6764,8379,7890,97797,64203,61189,2246,0
2021-08-02,8020,6797,8379,7902,98575,65737,61446,2267,20
2021-08-03,8020,6819,8379,7907,98989,66723,61668,2277,22
2021-08-05,8020,6830,8379,7907,99643,68402,61818,2295,2663
2021-08-06,8020,6830,8379,7907,99681,68807,61818,2295,3450
2021-08-07,8020,6830,8379,7907,99718,69231,61834,2295,4508
2021-08-08,8020,6830,8379,7907,99757,69438,61848,2295,4993
2021-08-09,8020,6848,8379,7915,100036,70875,61961,2302,6385
2021-08-10,8020,6859,8379,7915,100356,71936,62049,2488,7497
2021-08-11,8020,6880,8379,7915,100585,72768,62098,5423,8267
2021-08-12,8020,6881,8379,7915,100758,73594,62145,7552,9134
2021-08-13,8020,6887,8379,7915,101087,74446,62205,8895,10719
2021-08-14,8020,6887,8379,7915,101160,74583,62235,9243,11354
2021-08-15,8020,6887,8379,7915,101195,74705,62251,9307,11744
2021-08-16,8020,6895,8379,7915,101430,75547,62330,10462,13130
2021-08-17,8020,6895,8379,7915,101652,76315,62402,12540,14245
2021-08-18,8020,6915,8379,7915,101843,77147,62502,14432,15233
2021-08-19,8020,6926,8379,7915,102021,77834,62595,15917,16027
2021-08-20,8020,6943,8379,7915,102190,78493,62685,16977,16891
2021-08-21,8020,6943,8379,7915,102235,78640,62715,17375,17450
2021-08-22,8020,6943,8379,7915,102269,78757,62733,17375,17678
2021-08-23,8020,6952,8379,7915,102425,79522,62806,18517,18598
2021-08-24,8020,6981,8379,7915,102733,82308,62959,19224,19932
2021-08-25,8020,6990,8379,7915,103013,84318,63080,21174,21374
