,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,19084,4162,0,0,13558,8756,7720,542,0
2021-07-14,19086,4889,0,0,13626,8865,7754,542,0
2021-07-15,19090,5623,0,0,13690,8955,7790,542,0
2021-07-16,19095,6127,0,0,13869,9039,7824,542,0
2021-07-17,19097,6356,0,0,13889,9055,7885,544,0
2021-07-18,19101,6359,0,0,13895,9058,7888,544,0
2021-07-19,19110,7124,0,0,13952,9128,7903,542,0
2021-07-20,19113,7953,0,0,14013,9167,7964,542,0
2021-07-21,19124,8667,0,0,14055,9223,8022,542,0
2021-07-22,19127,9428,0,0,14121,9326,8066,598,0
2021-07-23,19132,9978,0,0,14195,9394,8113,677,0
2021-07-24,19135,10183,0,0,14199,9407,8161,796,0
2021-07-25,19140,10281,0,0,14305,9497,8161,797,0
2021-07-26,19144,10692,0,0,14448,9587,8198,1073,0
2021-07-27,19144,11088,0,0,14622,9699,8276,1315,0
2021-07-28,19145,11279,0,0,14697,9743,8300,1369,0
2021-07-29,19145,11390,0,0,14743,9772,8316,1388,0
2021-07-30,19145,11487,0,0,14789,9810,8336,1398,0
2021-07-31,19145,11489,0,0,14792,9810,8336,1398,0
2021-08-01,19145,11489,0,0,14792,9810,8336,1398,0
2021-08-02,19145,11583,0,0,14836,9839,8360,1405,0
2021-08-03,19150,11674,0,0,14867,9866,8372,1420,0
2021-08-05,19150,11782,0,0,14946,9911,8400,1438,0
2021-08-06,19150,11782,0,0,14946,9911,8400,1438,0
2021-08-07,19150,11782,0,0,14946,9911,8400,1438,0
2021-08-08,19150,11782,0,0,14947,9916,8400,1438,0
2021-08-09,19150,11827,0,0,14975,9941,8413,1448,0
2021-08-10,19150,11857,0,0,14994,9988,8444,1448,0
2021-08-11,19150,11913,0,0,15013,10013,8463,1452,0
2021-08-12,19150,11935,0,0,15032,10053,8495,1958,0
2021-08-13,19150,11998,0,0,15054,10102,8545,2304,0
2021-08-14,19150,11998,0,0,15054,10102,8545,2304,0
2021-08-15,19150,11998,0,0,15054,10102,8545,2305,0
2021-08-16,19150,12029,0,0,15073,10162,8581,2530,0
2021-08-17,19150,12090,0,0,15088,10226,8607,2698,0
2021-08-18,19150,12305,0,0,15115,10279,8686,2836,0
2021-08-19,19150,12345,0,0,15138,10322,8712,2955,0
2021-08-20,19150,12396,0,0,15189,10374,8742,3047,0
2021-08-21,19150,12396,0,0,15209,10407,8742,3047,0
2021-08-22,19150,12396,0,0,15210,10409,8742,3047,0
2021-08-23,19150,12426,0,0,15238,10461,8778,3107,0
2021-08-24,19150,12489,0,0,15281,10535,8858,3303,0
2021-08-25,19150,12535,0,0,15335,10608,8908,3859,0
2021-08-26,19150,12984,0,0,15410,10697,8959,3885,0
2021-08-27,19150,13063,0,0,15520,11163,8959,3885,0
2021-08-28,19150,13063,0,0,15539,11175,8959,3885,0
2021-08-29,19151,13063,0,0,15544,11181,8959,3885,0
2021-08-30,19151,13216,0,0,16191,11286,8993,3885,0
2021-08-31,19290,14051,0,0,16238,11330,9027,3885,0
2021-09-01,19290,14207,0,0,16562,11684,9083,3885,0
2021-09-03,19290,14440,0,0,17391,12461,9188,3921,0
2021-09-04,19294,14465,0,0,17793,12561,9196,3926,0
2021-09-05,19294,14465,0,0,17793,12561,9196,3926,0
2021-09-06,19304,14495,0,0,18312,12585,9216,3957,0
2021-09-07,19304,14506,0,0,18661,12613,9235,3986,0
2021-09-08,19304,14564,0,0,18751,12666,9254,4033,0
2021-09-09,19316,14630,0,0,18881,12753,9281,4067,0
